,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for
0,"2 BHK in Adhisri Apartments, Nungambakkam","Loyola College, Nelson Manickam Road, Nungambakkam, Chennai",31000,250000,1200,Semi Furnished,>10 years ,All
1,"3 BHK in Appaswamy Platina, Porur","Appaswamy Platina, Porur, Chennai",35000,200000,1708,Semi Furnished,Newly Constructed,Family
2,"3 BHK in Sham SGS Apartment, Vaanagaram","No, 04, Rajan Kuppam Road, Gangai Amman Koil St, Ayanambakkam, Va ...",17000,150000,1350,Semi Furnished,Newly Constructed,All
3,"3 BHK in Siri, Perungudi","Omr Road, Kottivakkam, Near Indian Oil Petrol Pump",30000,100000,1600,Semi Furnished,3-5 years ,Family
4,"2 BHK in Parijatham illam, West Mambalam",Ramakrishnapuram Near B K Sweets ( Lakshmi Vilas Bank Atm),14500,96000,700,Semi Furnished,>10 years ,Family
5,"1 RK in Sri Jaya Mangala Nivas, T Nagar","Thirumalai Pillai Road, T. Nagar, Darmapuram",10000,75000,300,Semi Furnished,>10 years ,All
6,"3 BHK in Sky Dugar Homes, Kil Ayanambakkam","Rajan Kuppam Road, Off Vanagaram-ambattur Road ( Behind Srivari K ...",22000,250000,1664,Semi Furnished,Newly Constructed,Family
7,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21500,150000,1548,Semi Furnished,1-3 years ,All
8,3 BHK in Adyar,"Independent House, Ramasamy Ave",35000,250000,1600,Semi Furnished,5-10 years ,Family
9,"3 BHK in Dlf Gardencity, Semmancheri","Dlf Gardencity, Semmancheri, Thalambur",17500,150000,2067,Semi Furnished,3-5 years ,Family
10,"2 BHK in L.R. Homes A Block, Sholinganallur","Sathyavani Muthu Street, Near Gateway The Complete School",20000,60000,1069,Full Furnished,3-5 years ,Bachelors
11,"3 BHK in Sky Dugar Homes, Kil Ayanambakkam","Rajan Kuppam Road, Off Vanagaram-ambattur Road ( Behind Srivari K ...",22000,250000,1664,Semi Furnished,Newly Constructed,Family
12,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21500,150000,1548,Semi Furnished,1-3 years ,All
13,3 BHK in Adyar,"Independent House, Ramasamy Ave",35000,250000,1600,Semi Furnished,5-10 years ,Family
14,"3 BHK in Dlf Gardencity, Semmancheri","Dlf Gardencity, Semmancheri, Thalambur",17500,150000,2067,Semi Furnished,3-5 years ,Family
15,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",35000,210000,2244,Semi Furnished,1-3 years ,Family
16,"2 BHK in Bhagyyam Lake, Keelkattalai, Chennai, Tamil Nadu, India","200 Feet Rd, Balamurugan Nagar, Veeramani Nagar, Near State Bank ...",21000,276000,1270,Semi Furnished,3-5 years ,All
17,2 BHK in Sembakkam,"Independent House, Hasthinapuram Bus Terminus, B.h.e.l Nagar, Kri ...",11000,55000,1100,Semi Furnished,5-10 years ,Family
18,"3 BHK in Meenakshi Nivas, Chitlapakkam","Hasthinapuram, Mc Nagar, !st Main Road, Near Sathguru Sri Vibooth ...",16000,75000,1123,Semi Furnished,1-3 years ,Family
19,"1 RK in Sri Jaya Mangala Nivas, T Nagar","Thirumalai Pillai Road, T. Nagar, Darmapuram",10000,75000,300,Semi Furnished,>10 years ,All
20,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",35000,210000,2244,Semi Furnished,1-3 years ,Family
21,"3 BHK in Sams Court, Arumbakkam","Panchali Amman Koil Street , Near Flyers Badminton Academy And Pa ...",21000,100000,1400,Semi Furnished,>10 years ,Family
22,2 BHK in Anna Nagar East,"Standalone Building, Nilgiri's, Block K, Anna Nagar East, Chennai ...",25000,250000,1650,Semi Furnished,5-10 years ,All
23,"2 BHK in Platinum premises, Anna Nagar West","Padma Super Market, 18th Main Road, Kambar Colony, Thiruvalluvar ...",22000,220000,928,Semi Furnished,>10 years ,Family
